	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
47	5300.813041123768	4090.7564522616835	5868.008734293052	5650.231674864115	5411.834039094344	5535.758075804937	6584.444065056855	6589.096079644886	6203.01734286924	6191.37139410619	6883.463337696516	6404.2325677576755	6548.930081342096	7187.726174696121	6638.264415086731	6984.324808551264	7001.455403954092	7223.048722026504	6758.203629961666						
48	4890.047955404192	5634.886393351727	5883.8371390989805	5778.873964871975	5525.069171398501	6326.360555285499	6383.118716948526	6366.559927465576	6284.770308235853	6254.81187777316	6498.897481519526	6343.562565595926	6511.046475008776	6778.8204588016015	6931.304125656092	6432.169540828304	6910.77273107458	7482.723431350593	6354.214120808642	7229.4457212611605					
49	8230.147611938068	7057.387574804835	9080.623704950664	8640.527012722938	8796.603009064993	10166.890871229625	9645.938964426998	9800.800094005066	9286.969692079168	8850.559988588275	9853.838232573566	9285.995935060926	9306.952180917462	9639.913691242433	9572.915205504803	9471.847291943011	10171.493385780148	10585.151046706831	9323.127065716912	10175.866315382687					
50	6598.820654133022	6290.360586143402	6144.437217547739	5700.7903695777	5985.924187642224	7057.227038065593	6694.8262065348	6627.2359175403935	6316.8267234081395	6425.418758968219	6674.51015608732	6574.375245180258	6691.876618524045	7121.747099935426	6912.554364780691	6834.2306757398665	7147.913998465898	7461.943759479928	6832.454272223019	7280.349053935326					
51	6661.6116853240355	7220.0576627800265	6250.780254876651	6008.6025249224585	6367.6849872032635	6466.77438404521	6708.27854159366	6779.028662965174	6332.780789417826	6563.031334340667	6576.227107532065	6505.982365123013	6698.480910717128	7002.73626568134	7313.870321155542	6574.9483533672255	7137.65533073581	7564.500709001408	7314.3072515133035	7325.545263158667	8581.014605942033	6934.1441977569675			
52	10677.3490293362	9466.60442379871	8762.453177170946	8871.436462103396	9304.455500411355	8966.239536973297	9719.461856744492	10012.076016002466	9132.492312484634	8792.569323649304	9509.862258848909	9420.02931110823	9340.258870610794	10121.619048128008	9776.609863235428	9757.92650181879	10464.030024717602	10916.101498206113	10086.547532893264	10449.480555555556	11813.788273111979	9513.196343732026			
53	7923.87053501206	6253.477621790875	6234.033391866295	6767.655262542665	6951.290270315223	6701.575320404355	7008.61772402521	6855.455009651103	6446.209920651929	6701.010414006596	6875.627047235788	6612.485942779471	6607.410062005092	7202.416601308332	7191.714097215013	6831.651911765753	6828.218529484447	7532.9953951694	7155.980520810988	7372.041655303517	8228.464490540635	7266.8754095033155			
54	8881.787158530831	5806.122204883989	6105.892160464758	6719.477771824966	7006.738513968841	6423.691211905763	6765.217583021695	6807.205076721166	6347.645663699189	6739.484879031798	6793.760037270075	6544.8363469081205	6561.241735377456	6965.111599496298	7366.084290712618	6674.304789376188	6747.703742265701	7824.711185616857	7115.194975845058	7367.69047189873	8250.928397966867	7360.594705298639	7791.333311791514		
55	12625.923939544882	7948.5722876859	8999.315787580073	9620.841068126538	10248.699548363455	8781.673285897663	10074.056394351095	10196.822806880635	9194.377215673536	9391.617001723533	9834.945204917814	9524.978600352508	9199.731192372436	10137.69170156278	9920.860917008631	9669.042699111867	10000.22057136299	11479.34914400503	10227.774591811638	10518.70365230811	11490.943490613683	10462.362100023303	11105.878676775066	11363.760831961183	
56	8925.791923369337	3823.3442235739835	6240.835186969545	7439.1779225667315	7186.1359454144485	6502.231708747297	7036.943464299394	7140.223446688291	6452.613834386219	6571.306908516976	6809.863431515768	6754.191894561052	6508.820146027986	7297.3067675292605	7465.936855118116	6885.6757447226755	7164.632016984714	8252.62603334645	7233.490812966187	7263.525120576398	8025.418096536146	7647.155404772803	7841.893174913194	8205.762131025207	8466.35126927956
57	8942.857123662961	4504.888987529709	6386.981973356509	7433.02216247276	7132.225252887395	6575.769485221422	6925.87318412504	7377.78722098788	6758.75662960553	6879.720854942496	7135.604750705124	6995.4226392506425	6498.256707515813	7209.0169043806	7748.67054856111	6881.984112548828	7262.875264591572	8415.567673578478	6919.835614984273	7555.818892003459	8309.589523108296	8002.68384189293	8017.370892093242	8426.527375284832	9393.995490126723
